ITEM;ÁREA;ITEM;DESCRIPCIÓN;ITEM;DESCRIPCIÓN;ITEM;;ITEM;PROCESO;DESCRIPCIÓN;UN;"Cantidad
Remanente";;PROCESO;TOTAL (M3);;INICIO;FIN;DÍAS;;01-04-2024;01-05-2024;01-06-2024;01-07-2024;01-08-2024;01-09-2024;01-10-2024;01-11-2024;01-12-2024;01-01-2025;01-02-2025;01-03-2025;01-04-2025;01-05-2025;01-06-2025;01-07-2025;01-08-2025;01-09-2025;01-10-2025;01-11-2025;01-12-2025;01-01-2026;01-02-2026;01-03-2026;01-04-2026;01-05-2026;01-06-2026;01-07-2026
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.8.;Rellenos - Coronamiento  Muro Norte (km 3+300 A 4+890);1.1.1.8.1;VERDADERO;1.1.1.8.1;Relleno;Relleno masivo de Lastre - coronamiento sobre cota 2496 - MN;m3;121545;;Relleno;121545;;29-11-2024;24-12-2024;26;;0;0;0;0;0;0;0;7293;114252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.8.;Rellenos - Coronamiento  Muro Norte (km 3+300 A 4+890);1.1.1.8.2;VERDADERO;1.1.1.8.2;Pretil;Pretil de seguridad - coronamiento MN;m3;2990;;Relleno;2990;;29-11-2024;02-12-2024;4;;0;0;0;0;0;0;0;1495;1495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.8.;Rellenos - Coronamiento  Muro Norte (km 3+300 A 4+890);1.1.1.8.3;VERDADERO;1.1.1.8.3;Relleno;Relleno tipo Filtro F1 - MN;m3;6288;;Relleno;6288;;29-11-2024;02-12-2024;4;;0;0;0;0;0;0;0;3144;3144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.8.;Rellenos - Coronamiento  Muro Norte (km 3+300 A 4+890);1.1.1.8.4;VERDADERO;1.1.1.8.4;Relleno;Relleno material drenante tipo D2 - MN;m3;6223;;Relleno;6223;;29-11-2024;02-12-2024;4;;0;0;0;0;0;0;0;3112;3112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.8.;Rellenos - Coronamiento  Muro Norte (km 3+300 A 4+890);1.1.1.8.5;VERDADERO;1.1.1.8.5;Relleno;Relleno tipo Filtro F2 - MN;m3;6226;;Relleno;6226;;29-11-2024;02-12-2024;4;;0;0;0;0;0;0;0;3113;3113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.9.;Rellenos  - Filtros y relaves en talud Muro Norte (km 1+800 A 3+300);1.1.1.9.1;VERDADERO;1.1.1.9.1;Relleno;Relleno Tipo relaves - MN;m3;11808;;Relleno;11808;;18-11-2024;24-11-2024;7;;0;0;0;0;0;0;0;11808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.9.;Rellenos  - Filtros y relaves en talud Muro Norte (km 1+800 A 3+300);1.1.1.9.2;VERDADERO;1.1.1.9.2;Relleno;Relleno tipo Filtro F1 - MN;m3;6288;;Relleno;6288;;24-11-2024;29-11-2024;6;;0;0;0;0;0;0;0;6288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.1;Excavación - Fundación Muro Noroeste 2;1.2.1.1.1;VERDADERO;1.2.1.1.1;Excavación;Excavación material común - MNO2;m3;4973;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.1;Excavación - Fundación Muro Noroeste 2;1.2.1.1.2;VERDADERO;1.2.1.1.2;Excavación;Excavación en Roca con medios mecánicos - MNO2;m3;1036;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.1;Excavación - Fundación Muro Noroeste 2;1.2.1.1.3;VERDADERO;1.2.1.1.3;Excavación;Excavación en Roca Ripable - MNO2;m3;6935;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.2.;Rellenos  - Aguas Abajo Muro Noroeste 2;1.2.1.2.1;VERDADERO;1.2.1.2.1;Relleno;Relleno masivo de Lastre - aguas abajo bajo la cota 2496 - MNO2;m3;92902;;Relleno;92902;;06-01-2025;16-02-2025;42;;0;0;0;0;0;0;0;0;0;57781;35121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.3.;Rellenos  - Coronamiento  Muro Noroeste 2;1.2.1.3.1;VERDADERO;1.2.1.3.1;Relleno;Relleno masivo de Lastre - coronamiento sobre cota 2496 - MNO2;m3;28555;;Relleno;28555;;22-03-2025;28-03-2025;7;;0;0;0;0;0;0;0;0;0;0;0;28555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
