Registro;Hora;Dir.;Operador;Camion ID;Camion Volumen (m3);Total (m3);Modelo
230101-000320;27-07-2024;ENTRA;L67;L67;19;19;Mercedes
230101-000319;27-07-2024;ENTRA;L13;L13;20.2;20.2;Volvo
230101-000318;27-07-2024;ENTRA;B34;B34;20.3;20.3;Volvo
230101-000317;27-07-2024;ENTRA;L77;L77;18.6;18.6;Mercedes
230101-000316;27-07-2024;ENTRA;K47;K47;20.3;20.3;Volvo
230101-000315;27-07-2024;ENTRA;S77;S77;20;20;Volvo
230101-000314;27-07-2024;ENTRA;J10;J10;22.9;22.9;Volvo
230101-000313;27-07-2024;ENTRA;Z90;Z90;20.3;20.3;Volvo
230101-000312;27-07-2024;ENTRA;X33;X33;20.1;20.1;Volvo
230101-000311;27-07-2024;ENTRA;F28;F28;21.5;21.5;Volvo
230101-000310;27-07-2024;ENTRA;T53;T53;20.4;20.4;Mercedes
230101-000309;27-07-2024;ENTRA;H93;H93;19.4;19.4;Volvo
230101-000308;27-07-2024;ENTRA;L78;L78;18.8;18.8;Mercedes
230101-000307;27-07-2024;ENTRA;F31;F31;21.5;21.5;Volvo
230101-000306;27-07-2024;ENTRA;W10;W10;20.2;20.2;Mercedes
230101-000305;27-07-2024;ENTRA;H30;H30;20.2;20.2;Mercedes
230101-000304;27-07-2024;ENTRA;L31;L31;20.4;20.4;Mercedes
230101-000303;27-07-2024;ENTRA;Y11;Y11;20.1;20.1;Volvo
230101-000302;27-07-2024;ENTRA;Z92;Z92;20.3;20.3;Volvo
230101-000301;27-07-2024;ENTRA;Z82;Z82;20.2;20.2;Mercedes
230101-000300;27-07-2024;ENTRA;F93;F93;22;22;Volvo
230101-000299;27-07-2024;ENTRA;K28;K28;21.5;21.5;Volvo
230101-000298;27-07-2024;ENTRA;Z84;Z84;18.7;18.7;Volvo
230101-000297;27-07-2024;ENTRA;L67;L67;19;19;Mercedes
230101-000296;27-07-2024;ENTRA;F28;F28;20.2;20.2;Volvo
230101-000283;27-07-2024;ENTRA;L80;L80;19.6;19.6;Mercedes
230101-000282;27-07-2024;ENTRA;F93;F93;23.1;23.1;Volvo
230101-000281;27-07-2024;ENTRA;S56;S56;19.8;19.8;Volvo
230101-000280;27-07-2024;ENTRA;K48;K48;18.3;18.3;Volvo
230101-000295;27-07-2024;ENTRA;L13;L13;21.2;21.2;Volvo
230101-000294;27-07-2024;ENTRA;K29;K29;21.1;21.1;Volvo
230101-000279;27-07-2024;ENTRA;K28;K28;20.3;20.3;Volvo
230101-000293;27-07-2024;ENTRA;F92;F92;21.8;21.8;Volvo
230101-000278;27-07-2024;ENTRA;Z82;Z82;21.7;21.7;Mercedes
230101-000277;27-07-2024;ENTRA;Z84;Z84;20;20;Volvo
230101-000276;27-07-2024;ENTRA;L13;L13;19.7;19.7;Volvo
230101-000292;27-07-2024;ENTRA;K47;K47;20.6;20.6;Volvo
230101-000275;27-07-2024;ENTRA;T51;T51;19.3;19.3;Mercedes
230101-000274;27-07-2024;ENTRA;L77;L77;20.4;20.4;Mercedes
230101-000291;27-07-2024;ENTRA;L31;L31;21;21;Mercedes
230101-000273;27-07-2024;ENTRA;F92;F92;22.9;22.9;Volvo
230101-000290;27-07-2024;ENTRA;W78;W78;20.6;20.6;Mercedes
230101-000272;27-07-2024;ENTRA;L67;L67;19.9;19.9;Mercedes
230101-000289;27-07-2024;ENTRA;X33;X33;18.9;18.9;Volvo
230101-000271;27-07-2024;ENTRA;Z92;Z92;20.1;20.1;Volvo
230101-000288;27-07-2024;ENTRA;W10;W10;18.7;18.7;Mercedes
230101-000287;27-07-2024;ENTRA;J10;J10;22.5;22.5;Volvo
230101-000270;27-07-2024;ENTRA;L31;L31;21.4;21.4;Mercedes
230101-000286;27-07-2024;ENTRA;Y11;Y11;20.4;20.4;Volvo
230101-000269;27-07-2024;ENTRA;K47;K47;19.8;19.8;Volvo
230101-000285;27-07-2024;ENTRA;H93;H93;21.9;21.9;Volvo
230101-000284;27-07-2024;ENTRA;F31;F31;21.9;21.9;Volvo
230101-000268;27-07-2024;ENTRA;V82;V82;19.9;19.9;Mercedes
230101-000267;27-07-2024;ENTRA;X31;X31;20.7;20.7;Volvo
230101-000266;27-07-2024;ENTRA;H32;H32;19.6;19.6;Mercedes
230101-000265;27-07-2024;ENTRA;K48;K48;19.9;19.9;Volvo
230101-000264;27-07-2024;ENTRA;W59;W59;20.3;20.3;Volvo
230101-000263;27-07-2024;ENTRA;T51;T51;19.5;19.5;Mercedes
230101-000262;27-07-2024;ENTRA;W78;W78;19.8;19.8;Mercedes
230101-000261;27-07-2024;ENTRA;W10;W10;18.9;18.9;Mercedes
230101-000260;27-07-2024;ENTRA;F33;F33;21.2;21.2;Volvo
230101-000259;27-07-2024;ENTRA;L13;L13;18;18;Volvo
230101-000258;27-07-2024;ENTRA;H30;H30;20.4;20.4;Mercedes
230101-000257;27-07-2024;ENTRA;T53;T53;19.3;19.3;Mercedes
230101-000256;27-07-2024;ENTRA;L78;L78;20.7;20.7;Mercedes
230101-000255;27-07-2024;ENTRA;J10;J10;22.2;22.2;Volvo
230101-000254;27-07-2024;ENTRA;X31;X31;18.9;18.9;Volvo
230101-000253;27-07-2024;ENTRA;W59;W59;18.1;18.1;Volvo
230101-000252;27-07-2024;ENTRA;T51;T51;19;19;Mercedes
230101-000251;27-07-2024;ENTRA;T43;T43;19.2;19.2;Mercedes
230101-000250;27-07-2024;ENTRA;K48;K48;19.7;19.7;Volvo
230101-000249;27-07-2024;ENTRA;W10;W10;17.5;17.5;Mercedes
230101-000248;27-07-2024;ENTRA;L13;L13;18.5;18.5;Volvo
230101-000247;27-07-2024;ENTRA;H30;H30;19.1;19.1;Mercedes
230101-000246;27-07-2024;ENTRA;T53;T53;19.4;19.4;Mercedes
230101-000245;27-07-2024;ENTRA;H93;H93;18.8;18.8;Volvo
230101-000244;27-07-2024;ENTRA;W59;W59;20.4;20.4;Volvo
230101-000243;27-07-2024;ENTRA;J10;J10;21.9;21.9;Volvo
230101-000242;27-07-2024;ENTRA;L31;L31;19.7;19.7;Mercedes
230101-000241;27-07-2024;ENTRA;X31;X31;20.2;20.2;Volvo
230101-000240;27-07-2024;ENTRA;L78;L78;18.1;18.1;Mercedes
230101-000239;27-07-2024;ENTRA;H30;H30;19.6;19.6;Mercedes
230101-000238;27-07-2024;ENTRA;L13;L13;20.5;20.5;Volvo
230101-000237;27-07-2024;ENTRA;T43;T43;19.5;19.5;Mercedes
230101-000236;27-07-2024;ENTRA;F33;F33;21.8;21.8;Volvo
230101-000235;27-07-2024;ENTRA;W10;W10;18.9;18.9;Mercedes
230101-000234;27-07-2024;ENTRA;J10;J10;21.6;21.6;Volvo
230101-000233;27-07-2024;ENTRA;H32;H32;20.8;20.8;Mercedes
230101-000232;27-07-2024;ENTRA;T53;T53;18.1;18.1;Mercedes
230101-000231;27-07-2024;ENTRA;K48;K48;19.6;19.6;Volvo
230101-000230;27-07-2024;ENTRA;X31;X31;19.1;19.1;Volvo
230101-000229;27-07-2024;ENTRA;L31;L31;19.4;19.4;Mercedes
230101-000228;27-07-2024;ENTRA;R84;R84;19.9;19.9;Mercedes
230101-000227;27-07-2024;ENTRA;T53;T53;19.3;19.3;Mercedes
230101-000226;27-07-2024;ENTRA;L13;L13;19.9;19.9;Volvo
230101-000225;27-07-2024;ENTRA;W10;W10;19.7;19.7;Mercedes
230101-000224;27-07-2024;ENTRA;T43;T43;20.1;20.1;Mercedes
230101-000223;27-07-2024;ENTRA;L80;L80;18.1;18.1;Mercedes
230101-000222;27-07-2024;ENTRA;F33;F33;22.4;22.4;Volvo
230101-000221;27-07-2024;ENTRA;W59;W59;21;21;Volvo
230101-000220;27-07-2024;ENTRA;Z90;Z90;19.5;19.5;Volvo
230101-000219;27-07-2024;ENTRA;L78;L78;20.1;20.1;Mercedes
230101-000218;27-07-2024;ENTRA;J10;J10;22.3;22.3;Volvo
230101-000217;27-07-2024;ENTRA;F92;F92;20.9;20.9;Volvo
230101-000216;27-07-2024;ENTRA;K48;K48;19.4;19.4;Volvo
230101-000215;26-07-2024;ENTRA;T53;T53;19.6;19.6;Mercedes
230101-000214;26-07-2024;ENTRA;L80;L80;18.5;18.5;Mercedes
230101-000213;26-07-2024;ENTRA;Z92;Z92;19.6;19.6;Volvo
230101-000212;26-07-2024;ENTRA;X31;X31;20.3;20.3;Volvo
230101-000211;26-07-2024;ENTRA;H30;H30;19.9;19.9;Mercedes
230101-000210;26-07-2024;ENTRA;L13;L13;19.5;19.5;Volvo
230101-000209;26-07-2024;ENTRA;L31;L31;20.8;20.8;Mercedes
230101-000208;26-07-2024;ENTRA;W59;W59;18.3;18.3;Volvo
230101-000207;26-07-2024;ENTRA;W10;W10;19.5;19.5;Mercedes
230101-000206;26-07-2024;ENTRA;L78;L78;19.7;19.7;Mercedes
230101-000205;26-07-2024;ENTRA;J10;J10;21.7;21.7;Volvo
230101-000204;26-07-2024;ENTRA;T53;T53;17.9;17.9;Mercedes
230101-000203;26-07-2024;ENTRA;Z90;Z90;20.1;20.1;Volvo
230101-000202;26-07-2024;ENTRA;L13;L13;19.8;19.8;Volvo
230101-000201;26-07-2024;ENTRA;W59;W59;18.5;18.5;Volvo
230101-000200;26-07-2024;ENTRA;L31;L31;20.1;20.1;Mercedes
230101-000199;26-07-2024;ENTRA;H30;H30;20;20;Mercedes
230101-000198;26-07-2024;ENTRA;W10;W10;19.7;19.7;Mercedes
230101-000197;26-07-2024;ENTRA;T53;T53;17.8;17.8;Mercedes
230101-000196;26-07-2024;ENTRA;L78;L78;19;19;Mercedes
230101-000195;26-07-2024;ENTRA;X31;X31;21.1;21.1;Volvo
230101-000194;26-07-2024;ENTRA;R84;R84;19.5;19.5;Mercedes
230101-000193;26-07-2024;ENTRA;L13;L13;20.1;20.1;Volvo
230101-000192;26-07-2024;ENTRA;L31;L31;19.4;19.4;Mercedes
230101-000191;26-07-2024;ENTRA;W10;W10;20.1;20.1;Mercedes
230101-000190;26-07-2024;ENTRA;F28;F28;20.6;20.6;Volvo
230101-000189;26-07-2024;ENTRA;TT43;TT43;20.9;20.9;Mercedes
230101-000188;26-07-2024;ENTRA;V42;V42;20;20;Volvo
230101-000187;26-07-2024;ENTRA;K46;K46;19.9;19.9;Volvo
230101-000186;26-07-2024;ENTRA;K47;K47;19.2;19.2;Volvo
230101-000185;26-07-2024;ENTRA;H32;H32;19.3;19.3;Mercedes
230101-000184;26-07-2024;ENTRA;H30;H30;20;20;Mercedes
230101-000183;26-07-2024;ENTRA;T51;T51;19.2;19.2;Mercedes
230101-000182;26-07-2024;ENTRA;W58;W58;20.9;20.9;Volvo
230101-000181;26-07-2024;ENTRA;Z84;Z84;20.8;20.8;Volvo
230101-000180;26-07-2024;ENTRA;L31;L31;19.2;19.2;Mercedes
230101-000179;26-07-2024;ENTRA;W59;W59;21.2;21.2;Volvo
230101-000178;26-07-2024;ENTRA;L67;L67;18.8;18.8;Mercedes
230101-000177;26-07-2024;ENTRA;Z82;Z82;19.7;19.7;Mercedes
230101-000176;26-07-2024;ENTRA;Z92;Z92;20.7;20.7;Volvo
230101-000175;26-07-2024;ENTRA;X31;X31;20.9;20.9;Volvo
230101-000174;26-07-2024;ENTRA;K28;K28;21.9;21.9;Volvo
230101-000173;26-07-2024;ENTRA;R84;R84;19.5;19.5;Mercedes
230101-000172;26-07-2024;ENTRA;T43;T43;20.2;20.2;Mercedes
230101-000171;26-07-2024;ENTRA;F31;F31;20.5;20.5;Volvo
230101-000170;26-07-2024;ENTRA;T51;T51;19.4;19.4;Mercedes
230101-000169;26-07-2024;ENTRA;B34;B34;21.3;21.3;Volvo
230101-000168;26-07-2024;ENTRA;J10;J10;21.5;21.5;Volvo
230101-000167;26-07-2024;ENTRA;TT43;TT43;20.5;20.5;Mercedes
230101-000166;26-07-2024;ENTRA;L13;L13;20.5;20.5;Volvo
230101-000165;26-07-2024;ENTRA;W78;W78;20;20;Mercedes
230101-000164;26-07-2024;ENTRA;L77;L77;19.4;19.4;Mercedes
230101-000163;26-07-2024;ENTRA;Y28;Y28;20.9;20.9;Volvo
230101-000162;26-07-2024;ENTRA;T53;T53;19.6;19.6;Mercedes
230101-000161;26-07-2024;ENTRA;W10;W10;18;18;Mercedes
230101-000160;26-07-2024;ENTRA;H93;H93;20;20;Volvo
230101-000159;26-07-2024;ENTRA;T51;T51;19.1;19.1;Mercedes
230101-000158;26-07-2024;ENTRA;F28;F28;22.3;22.3;Volvo
230101-000157;26-07-2024;ENTRA;Z90;Z90;20.8;20.8;Volvo
230101-000156;26-07-2024;ENTRA;S57;S57;19.3;19.3;Volvo
230101-000155;26-07-2024;ENTRA;H32;H32;19.9;19.9;Mercedes
230101-000154;26-07-2024;ENTRA;W59;W59;20.5;20.5;Volvo
230101-000153;26-07-2024;ENTRA;L67;L67;19.4;19.4;Mercedes
230101-000152;26-07-2024;ENTRA;X31;X31;19.6;19.6;Volvo
230101-000151;26-07-2024;ENTRA;Z82;Z82;19.8;19.8;Mercedes
230101-000150;26-07-2024;ENTRA;L77;L77;19.1;19.1;Mercedes
230101-000149;26-07-2024;ENTRA;R84;R84;18.7;18.7;Mercedes
230101-000148;26-07-2024;ENTRA;J10;J10;22.2;22.2;Volvo
230101-000147;26-07-2024;ENTRA;Z92;Z92;20.7;20.7;Volvo
230101-000146;26-07-2024;ENTRA;W78;W78;18.4;18.4;Mercedes
230101-000145;26-07-2024;ENTRA;S57;S57;19.6;19.6;Volvo
230101-000144;26-07-2024;ENTRA;T51;T51;20;20;Mercedes
230101-000143;26-07-2024;ENTRA;L13;L13;21.1;21.1;Volvo
230101-000142;26-07-2024;ENTRA;W59;W59;20.6;20.6;Volvo
230101-000141;26-07-2024;ENTRA;F28;F28;22.7;22.7;Volvo
230101-000140;26-07-2024;ENTRA;X31;X31;19.4;19.4;Volvo
230101-000139;26-07-2024;ENTRA;W10;W10;20.1;20.1;Mercedes
230101-000138;26-07-2024;ENTRA;J10;J10;21.9;21.9;Volvo
230101-000137;26-07-2024;ENTRA;K28;K28;19.5;19.5;Volvo
230101-000136;26-07-2024;ENTRA;Z82;Z82;18.8;18.8;Mercedes
230101-000135;26-07-2024;ENTRA;L77;L77;19.2;19.2;Mercedes
230101-000134;26-07-2024;ENTRA;R84;R84;20;20;Mercedes
230101-000133;26-07-2024;ENTRA;W78;W78;19;19;Mercedes
230101-000132;26-07-2024;ENTRA;S57;S57;21.1;21.1;Volvo
230101-000131;26-07-2024;ENTRA;S56;S56;20;20;Volvo
230101-000130;26-07-2024;ENTRA;F92;F92;21.9;21.9;Volvo
230101-000129;26-07-2024;ENTRA;W10;W10;20.1;20.1;Mercedes
230101-000128;26-07-2024;ENTRA;Z90;Z90;21.2;21.2;Volvo
230101-000127;26-07-2024;ENTRA;L31;L31;19.5;19.5;Mercedes
230101-000126;26-07-2024;ENTRA;H32;H32;18.9;18.9;Mercedes
230101-000125;26-07-2024;ENTRA;W59;W59;21.2;21.2;Volvo
230101-000124;26-07-2024;ENTRA;L13;L13;20.2;20.2;Volvo
230101-000123;26-07-2024;ENTRA;J10;J10;22.6;22.6;Volvo
230101-000122;26-07-2024;ENTRA;L78;L78;20.1;20.1;Mercedes
230101-000121;26-07-2024;ENTRA;W10;W10;20.3;20.3;Mercedes
230101-000120;26-07-2024;ENTRA;F92;F92;19.6;19.6;Volvo
230101-000119;26-07-2024;ENTRA;J10;J10;22.3;22.3;Volvo
230101-000118;26-07-2024;ENTRA;L78;L78;20.4;20.4;Mercedes
230101-000117;26-07-2024;ENTRA;L31;L31;19.9;19.9;Mercedes
230101-000116;26-07-2024;ENTRA;W10;W10;19.7;19.7;Mercedes
230101-000115;26-07-2024;ENTRA;L13;L13;17.9;17.9;Volvo
230101-000114;26-07-2024;ENTRA;J10;J10;21.3;21.3;Volvo
230101-000113;26-07-2024;ENTRA;T53;T53;19.8;19.8;Mercedes
230101-000112;26-07-2024;ENTRA;L31;L31;20.1;20.1;Mercedes
230101-000111;26-07-2024;ENTRA;L78;L78;19.9;19.9;Mercedes
230101-000110;26-07-2024;ENTRA;L13;L13;19.2;19.2;Volvo
230101-000109;26-07-2024;ENTRA;J10;J10;21.8;21.8;Volvo
230101-000108;26-07-2024;ENTRA;T53;T53;18.9;18.9;Mercedes
230101-000107;26-07-2024;ENTRA;X31;X31;20.1;20.1;Volvo
230101-000106;26-07-2024;ENTRA;L13;L13;20.7;20.7;Volvo
230101-000105;26-07-2024;ENTRA;J10;J10;20.6;20.6;Volvo
230101-000104;25-07-2024;ENTRA;F92;F92;20.7;20.7;Volvo
230101-000103;25-07-2024;ENTRA;T53;T53;20.2;20.2;Mercedes
230101-000102;25-07-2024;ENTRA;L31;L31;19.8;19.8;Mercedes
230101-000101;25-07-2024;ENTRA;L13;L13;20.4;20.4;Volvo
230101-000100;25-07-2024;ENTRA;X31;X31;19.8;19.8;Volvo
230101-000099;25-07-2024;ENTRA;J10;J10;21.5;21.5;Volvo
230101-000098;25-07-2024;ENTRA;W10;W10;20.3;20.3;Mercedes
230101-000097;25-07-2024;ENTRA;L13;L13;18.4;18.4;Volvo
230101-000096;25-07-2024;ENTRA;L31;L31;21.6;21.6;Mercedes
230101-000095;25-07-2024;ENTRA;X31;X31;21.3;21.3;Volvo
230101-000094;25-07-2024;ENTRA;T53;T53;17.8;17.8;Mercedes
230101-000093;25-07-2024;ENTRA;W59;W59;20.6;20.6;Volvo
230101-000092;25-07-2024;ENTRA;F92;F92;22.3;22.3;Volvo
230101-000091;25-07-2024;ENTRA;L78;L78;18.9;18.9;Mercedes
230101-000090;25-07-2024;ENTRA;V46;V46;18.9;18.9;Volvo
230101-000089;25-07-2024;ENTRA;W10;W10;20.1;20.1;Mercedes
230101-000088;25-07-2024;ENTRA;S57;S57;18.9;18.9;Volvo
230101-000087;25-07-2024;ENTRA;W78;W78;19.3;19.3;Mercedes
230101-000086;25-07-2024;ENTRA;T53;T53;19.8;19.8;Mercedes
230101-000085;25-07-2024;ENTRA;T43;T43;20.8;20.8;Mercedes
230101-000084;25-07-2024;ENTRA;W59;W59;21;21;Volvo
230101-000083;25-07-2024;ENTRA;F93;F93;21.8;21.8;Volvo
230101-000082;25-07-2024;ENTRA;L31;L31;20.1;20.1;Mercedes
230101-000081;25-07-2024;ENTRA;J10;J10;19.5;19.5;Volvo
230101-000080;25-07-2024;ENTRA;Z90;Z90;20.8;20.8;Volvo
230101-000079;25-07-2024;ENTRA;F92;F92;20.5;20.5;Volvo
230101-000078;25-07-2024;ENTRA;W10;W10;20.2;20.2;Mercedes
230101-000077;25-07-2024;ENTRA;L67;L67;21.6;21.6;Mercedes
230101-000076;25-07-2024;ENTRA;L13;L13;20;20;Volvo
230101-000075;25-07-2024;ENTRA;Z82;Z82;20.4;20.4;Mercedes
230101-000074;25-07-2024;ENTRA;Z92;Z92;0;0;Volvo
230101-000073;25-07-2024;ENTRA;K28;K28;18.3;18.3;Volvo
230101-000072;25-07-2024;ENTRA;W78;W78;19.1;19.1;Mercedes
230101-000071;25-07-2024;ENTRA;V46;V46;18.8;18.8;Volvo
230101-000070;25-07-2024;ENTRA;T51;T51;17.5;17.5;Mercedes
230101-000069;25-07-2024;ENTRA;S57;S57;20.1;20.1;Volvo
230101-000068;25-07-2024;ENTRA;F93;F93;20.8;20.8;Volvo
230101-000067;25-07-2024;ENTRA;L31;L31;20.6;20.6;Mercedes
230101-000066;25-07-2024;ENTRA;H32;H32;0;0;Mercedes
230101-000065;25-07-2024;ENTRA;L13;L13;20;20;Volvo
230101-000064;25-07-2024;ENTRA;X31;X31;20.6;20.6;Volvo
230101-000063;25-07-2024;ENTRA;L78;L78;18.5;18.5;Mercedes
230101-000062;25-07-2024;ENTRA;Z90;Z90;20.8;20.8;Volvo
230101-000061;25-07-2024;ENTRA;F92;F92;21.8;21.8;Volvo
230101-000060;25-07-2024;ENTRA;J10;J10;22.7;22.7;Volvo
230101-000059;25-07-2024;ENTRA;Z82;Z82;19.1;19.1;Mercedes
230101-000058;25-07-2024;ENTRA;L67;L67;18.5;18.5;Mercedes
230101-000057;25-07-2024;ENTRA;L13;L13;20.6;20.6;Volvo
230101-000056;25-07-2024;ENTRA;V46;V46;18.9;18.9;Volvo
230101-000055;25-07-2024;ENTRA;K28;K28;20.6;20.6;Volvo
230101-000054;25-07-2024;ENTRA;S56;S56;20.1;20.1;Volvo
230101-000053;25-07-2024;ENTRA;W59;W59;20;20;Volvo
230101-000052;25-07-2024;ENTRA;Z92;Z92;20.6;20.6;Volvo
230101-000051;25-07-2024;ENTRA;Z90;Z90;20.1;20.1;Volvo
230101-000050;25-07-2024;ENTRA;W78;W78;21.2;21.2;Mercedes
230101-000049;25-07-2024;ENTRA;K28;K28;20.5;20.5;Volvo
230101-000048;25-07-2024;ENTRA;L77;L77;21.4;21.4;Mercedes
230101-000047;25-07-2024;ENTRA;F92;F92;20.4;20.4;Volvo
230101-000046;25-07-2024;ENTRA;W10;W10;17.5;17.5;Mercedes
230101-000045;25-07-2024;ENTRA;V46;V46;21.5;21.5;Volvo
230101-000044;25-07-2024;ENTRA;L31;L31;19.3;19.3;Mercedes
230101-000043;25-07-2024;ENTRA;W59;W59;20.4;20.4;Volvo
230101-000042;25-07-2024;ENTRA;X31;X31;21.1;21.1;Volvo
230101-000041;25-07-2024;ENTRA;L78;L78;17.7;17.7;Mercedes
230101-000040;25-07-2024;ENTRA;S57;S57;21.4;21.4;Volvo
230101-000039;25-07-2024;ENTRA;T51;T51;20;20;Mercedes
230101-000038;25-07-2024;ENTRA;W78;W78;19;19;Mercedes
230101-000037;25-07-2024;ENTRA;W10;W10;18.4;18.4;Mercedes
230101-000036;25-07-2024;ENTRA;F31;F31;22.9;22.9;Volvo
230101-000035;25-07-2024;ENTRA;L31;L31;19.2;19.2;Mercedes
230101-000034;25-07-2024;ENTRA;L78;L78;20.9;20.9;Mercedes
230101-000033;25-07-2024;ENTRA;W10;W10;18.9;18.9;Mercedes
230101-000032;25-07-2024;ENTRA;T51;T51;21.3;21.3;Mercedes
230101-000031;25-07-2024;ENTRA;S56;S56;17.7;17.7;Volvo
230101-000030;25-07-2024;ENTRA;W10;W10;19.5;19.5;Mercedes
230101-000029;25-07-2024;ENTRA;X31;X31;19;19;Volvo
230101-000028;25-07-2024;ENTRA;W10;W10;19.1;19.1;Mercedes
230101-000027;25-07-2024;ENTRA;W10;W10;19.6;19.6;Mercedes
230101-000026;25-07-2024;ENTRA;X31;X31;20.4;20.4;Volvo
230101-000025;25-07-2024;ENTRA;S56;S56;21.7;21.7;Volvo
230101-000024;25-07-2024;ENTRA;W10;W10;20.2;20.2;Mercedes
230101-000023;24-07-2024;ENTRA;T51;T51;19.1;19.1;Mercedes
230101-000022;24-07-2024;ENTRA;K28;K28;18.4;18.4;Volvo
230101-000015;24-07-2024;ENTRA;H32;H32;20.7;20.7;Mercedes
230101-000014;24-07-2024;ENTRA;Z90;Z90;0;0;Volvo
230101-000013;24-07-2024;ENTRA;H32;H32;19.4;19.4;Mercedes
230101-000012;24-07-2024;ENTRA;Z90;Z90;0;0;Volvo
230101-000011;24-07-2024;ENTRA;H32;H32;20.1;20.1;Mercedes
230101-000021;24-07-2024;ENTRA;Z90;Z90;20.6;20.6;Volvo
230101-000010;24-07-2024;ENTRA;H32;H32;18.8;18.8;Mercedes
230101-000009;24-07-2024;ENTRA;S56;S56;18.9;18.9;Volvo
230101-000008;24-07-2024;ENTRA;H32;H32;19.5;19.5;Mercedes
230101-000007;24-07-2024;ENTRA;T51;T51;19.2;19.2;Mercedes
230101-000020;24-07-2024;ENTRA;X31;X31;19.4;19.4;Volvo
230101-000019;24-07-2024;ENTRA;W10;W10;21;21;Mercedes
230101-000018;24-07-2024;ENTRA;H32;H32;20.1;20.1;Mercedes
230101-000017;24-07-2024;ENTRA;K28;K28;19.9;19.9;Volvo
230101-000016;24-07-2024;ENTRA;H32;H32;20;20;Mercedes
